item,insamplesI,pop,pop2,popMORE,popK,x_coord,y_coord,village,municipality,race_1st,common_name,in_or_ex,regenerations,farmer,seedlot,pch,cobs
137,LI32-6,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
138,LI32-7,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
139,LI32-8,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
140,LI32-9,MORE32in,INMORE32,MORE32,K10,-98.70302778,18.86163889,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,1,same,0,20
141,LI33-1,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
142,LI33-10,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
143,LI33-2,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
144,LI33-3,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
145,LI33-4,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
146,LI33-5,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
147,LI33-6,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
148,LI33-7,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
149,LI33-8,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
150,LI33-9,MORE33in,INMORE33,MORE33,K11,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,chalqueno,criollo,insitu,1,2,same,1,22
151,LI34-1,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
152,LI34-10,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
153,LI34-2,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
154,LI34-3,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
155,LI34-4,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
156,LI34-5,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
157,LI34-6,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
158,LI34-7,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
159,LI34-8,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
160,LI34-9,MORE34in,INMORE34,MORE34,K12,-98.69630556,18.86852778,Hueyapan,Tetela_del_Volcan,elotesconicos,negro,insitu,1,2,same,2,28
161,LI35-1,MORE35in,INMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,insitu,1,3,same,3,24
162,LI35-10,MORE35in,INMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,insitu,1,3,same,3,24
163,LI35-2,MORE35in,INMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,insitu,1,3,same,3,24
164,LI35-3,MORE35in,INMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,insitu,1,3,same,3,24
165,LI35-4,MORE35in,INMORE35,MORE35,K13,-98.73311111,18.83619444,Hueyapan,Tetela_del_Volcan,conico,criollo,insitu,1,3,same,3,24
